"","X","title","year","length","imdb.score","votes","mpaa","Genre","BudgetRange"
"333",23527,"Home at the End of the World, A",2004,96,6.5,1693,"R","RomanticDrama","Modest"
"334",23614,"Honey",2003,94,3.9,3067,"PG-13","RomanticDrama","Modest"
"335",23723,"Hope Floats",1998,114,5.3,4382,"PG-13","RomanticDrama","Modest"
"336",23781,"Horse Whisperer, The",1998,170,6.4,6744,"PG-13","RomanticDrama","BigBudget"
"337",23951,"Hours, The",2002,114,7.6,16692,"PG-13","Drama","Modest"
"338",24000,"House of Mirth, The",2000,140,6.9,2167,"PG","RomanticDrama","Modest"
"339",24005,"House of Sand and Fog",2003,126,7.8,8164,"R","Drama","Modest"
"340",24018,"House of Yes, The",1997,85,6.5,2345,"R","Drama","Modest"
"341",24028,"House of the Spirits, The",1993,146,6.3,3205,"UR","RomanticDrama","BigBudget"
"342",24040,"House on Turk Street, The",2002,103,5.5,1048,"R","Drama","Modest"
"343",24082,"How Stella Got Her Groove Back",1998,124,5,1475,"R","RomanticDrama","Modest"
"344",24088,"How the Grinch Stole Christmas",2000,104,5.7,12680,"PG","Drama","BigBudget"
"345",24102,"How to Deal",2003,102,5.5,1537,"PG-13","RomanticDrama","Modest"
"346",24118,"How to Lose a Guy in 10 Days",2003,116,6.1,9257,"PG-13","RomanticComedy","BigBudget"
"347",24169,"Hsi yen",1993,106,7.5,2342,"UR","RomanticDrama","Modest"
"348",24212,"Hudsucker Proxy, The",1994,111,7.4,12903,"UR","RomanticComedy","Modest"
"349",24280,"Hunchback of Notre Dame, The",1996,91,6.5,6093,"UR","Drama","BigBudget"
"350",24349,"Hurricane, The",1999,145,7.3,12445,"R","Drama","BigBudget"
"351",24356,"Husbands and Wives",1992,108,7.4,3622,"UR","Drama","Modest"
"352",24413,"I Am Sam",2001,132,7.2,9945,"PG-13","Drama","Modest"
"353",24455,"I Dreamed of Africa",2000,114,5.2,1113,"PG-13","Drama","BigBudget"
"354",24734,"Ice Storm, The",1997,112,7.5,13115,"R","Drama","Modest"
"355",24772,"Ideal Husband, An",1999,97,7,4584,"PG-13","RomanticComedy","Modest"
"356",24779,"Identity",2003,90,7.3,18747,"R","Drama","Modest"
"357",24840,"Igby Goes Down",2002,99,7.1,7958,"R","Drama","Modest"
"358",24992,"Importance of Being Earnest, The",2002,97,6.8,3598,"PG","RomanticDrama","Modest"
"359",25029,"In Crowd, The",2000,104,4,1342,"PG-13","Drama","Modest"
"360",25132,"In the Bedroom",2001,130,7.4,10177,"R","Drama","Modest"
"361",25156,"In the Line of Fire",1993,138,7.3,12923,"UR","Drama","BigBudget"
"362",25264,"Indecent Proposal",1993,117,5.3,7397,"UR","RomanticDrama","BigBudget"
"363",25464,"Insider, The",1999,157,8,28780,"R","Drama","BigBudget"
"364",25474,"Insomnia",2002,118,7.3,22235,"R","Drama","BigBudget"
"365",25494,"Instinct",1999,126,6.1,6298,"R","Drama","BigBudget"
"366",25518,"Intermission",2003,102,6.4,1971,"R","Drama","Modest"
"367",25541,"Interstate 60",2002,116,7.7,2495,"R","Drama","Modest"
"368",25550,"Interview with the Vampire: The Vampire Chronicles",1994,123,7.2,26698,"UR","Drama","BigBudget"
"369",25583,"Intolerable Cruelty",2003,100,6.6,11967,"PG-13","RomanticComedy","BigBudget"
"370",25631,"Invasions barbares, Les",2003,112,7.9,4900,"R","Drama","Modest"
"371",26048,"JFK",1991,206,7.8,26456,"R","Drama","BigBudget"
"372",26057,"Jack",1996,113,5.2,5256,"PG-13","Drama","BigBudget"
"373",26066,"Jack Frost",1998,101,4.5,2130,"PG","Drama","BigBudget"
"374",26102,"Jackie Brown",1997,154,7.5,28891,"R","Drama","Modest"
"375",26116,"Jacob's Ladder",1990,115,7.3,8901,"UR","Drama","Modest"
"376",26175,"Jakob the Liar",1999,120,5.9,2544,"PG-13","Drama","Modest"
"377",26206,"Jane Austen's Mafia!",1998,83,4.8,2999,"UR","Drama","Modest"
"378",26238,"Japanese Story",2003,105,7,1330,"R","Drama","Modest"
"379",26324,"Jeepers Creepers",2001,90,5.4,10973,"R","Drama","Modest"
"380",26383,"Jerry Maguire",1996,139,7.3,34623,"R","RomanticDrama","BigBudget"
"381",26393,"Jersey Girl",2004,102,6.4,6853,"PG-13","Drama","BigBudget"
"382",26420,"Jesus' Son",1999,107,6.9,2291,"R","Drama","Modest"
"383",26593,"Joe Dirt",2001,91,5.1,5514,"PG-13","RomanticComedy","Modest"
"384",26606,"Joe Somebody",2001,98,5.5,1937,"PG","RomanticDrama","BigBudget"
"385",26644,"John Q",2002,116,6.4,8952,"PG-13","Drama","BigBudget"
"386",26997,"Jungle Book, The",1994,111,5.9,1692,"UR","RomanticDrama","Modest"
"387",27004,"Jungle Fever",1991,132,6.4,2829,"UR","RomanticDrama","Modest"
"388",27056,"Juror, The",1996,118,5.3,2920,"R","Drama","BigBudget"
"389",27148,"K-19: The Widowmaker",2002,140,6.6,8292,"PG-13","Drama","BigBudget"
"390",27150,"K-PAX",2001,120,7.2,17235,"PG-13","Drama","BigBudget"
"391",27188,"Kafka",1991,92,6.9,1751,"UR","Drama","Modest"
"392",27272,"Kama Sutra: A Tale of Love",1996,114,5.5,1491,"R","RomanticDrama","Modest"
"393",27335,"Kansas City",1996,116,5.8,1077,"R","Drama","Modest"
"394",27369,"Karakter",1997,122,7.7,2687,"R","Drama","Modest"
"395",27430,"Kate & Leopold",2001,123,6.3,8060,"PG-13","RomanticComedy","BigBudget"
"396",27519,"Keeping the Faith",2000,128,6.8,11351,"PG-13","RomanticDrama","Modest"
"397",27681,"Kid, The",2000,104,6.1,5418,"PG","Drama","BigBudget"
"398",27695,"Kids",1995,91,6.6,9099,"UR","Drama","Modest"
"399",27805,"Killing Me Softly",2002,104,5.4,1771,"R","Drama","Modest"
"400",27909,"King of the Hill",1993,109,7.4,1233,"UR","Drama","Modest"
"401",27966,"Kinsey",2004,118,7.6,3225,"R","Drama","Modest"
"402",28032,"Kiss the Girls",1997,111,6.4,9041,"R","Drama","Modest"
"403",28047,"Kissing Jessica Stein",2001,97,7,4236,"R","RomanticComedy","Modest"
"404",28501,"Kundun",1997,128,7.1,4306,"PG-13","Drama","Modest"
"405",28602,"L.A. Confidential",1997,138,8.4,69600,"UR","Drama","BigBudget"
"406",29061,"Last Orders",2001,109,7.1,1583,"R","Drama","Modest"
"407",29102,"Last Seduction, The",1994,110,7.2,4157,"UR","Drama","Modest"
"408",29165,"Last of the Mohicans, The",1992,117,7.5,15293,"UR","RomanticDrama","BigBudget"
"409",29202,"Latter Days",2003,107,7.3,1396,"R","RomanticDrama","Tiny"
"410",29283,"Lawn Dogs",1997,101,7.5,1856,"R","Drama","Modest"
"411",29288,"Laws of Attraction",2004,90,5.7,2349,"PG-13","RomanticComedy","Modest"
"412",29323,"League of Their Own, A",1992,128,6.9,14318,"UR","Drama","BigBudget"
"413",29353,"Leaving Las Vegas",1995,111,7.5,18027,"R","RomanticDrama","Modest"
"414",29399,"Legend of Bagger Vance, The",2000,126,6.4,7123,"PG-13","RomanticDrama","BigBudget"
"415",29439,"Legends of the Fall",1994,133,6.7,13327,"UR","RomanticDrama","Modest"
"416",29444,"Leggenda del pianista sull'oceano, La",1998,120,7.6,3599,"R","Drama","Modest"
"417",29696,"Levity",2003,100,6.4,1459,"R","Drama","Modest"
"418",29762,"Liberty Stands Still",2002,92,5.6,1560,"R","Drama","Modest"
"419",29819,"Life",1999,108,5.8,4857,"R","Drama","BigBudget"
"420",29823,"Life Aquatic with Steve Zissou, The",2004,118,7.3,9170,"R","Drama","Modest"
"421",29834,"Life Less Ordinary, A",1997,103,6.4,8209,"R","RomanticDrama","Modest"
"422",29852,"Life as a House",2001,127,7.5,7696,"R","Drama","Modest"
"423",29860,"Life of David Gale, The",2003,130,7.1,10580,"R","Drama","BigBudget"
"424",29984,"Lilo & Stitch",2002,86,7.3,10944,"PG","Drama","BigBudget"
"425",29993,"Limbo",1999,126,7.1,2063,"R","Drama","Modest"
"426",29999,"Limey, The",1999,89,7.2,7732,"R","Drama","Modest"
"427",30125,"Little Black Book",2004,111,4.7,1894,"PG-13","RomanticDrama","BigBudget"
"428",30212,"Little Nicky",2000,90,4.9,9485,"PG-13","RomanticComedy","BigBudget"
"429",30217,"Little Odessa",1994,98,6.5,1222,"UR","Drama","Modest"
"430",30322,"Living Out Loud",1998,103,6.5,1774,"R","RomanticDrama","Modest"
"431",30433,"Lolita",1997,137,6.8,5757,"R","RomanticDrama","BigBudget"
"432",30468,"Lone Star",1996,135,7.7,8518,"R","Drama","Modest"
"433",30681,"Loser",2000,92,5.1,5152,"PG-13","RomanticComedy","Modest"
"434",30713,"Lost Highway",1997,135,7.3,15936,"R","Drama","Modest"
"435",30757,"Lost in Translation",2003,102,8,42450,"R","Drama","Modest"
"436",30815,"Love & Basketball",2000,124,6.7,2093,"PG-13","RomanticDrama","Modest"
"437",30887,"Love Letter, The",1999,88,5.2,1258,"PG-13","Drama","Modest"
"438",30894,"Love Liza",2002,90,6.6,1588,"R","Drama","Modest"
"439",30986,"Love's Labour's Lost",2000,93,5.9,1254,"PG","RomanticComedy","Modest"
"440",31015,"Lovely & Amazing",2001,91,6.9,1813,"R","Drama","Tiny"
"441",31205,"Lunes al sol, Los",2002,113,7.8,1466,"R","Drama","Modest"
"442",31424,"Mad City",1997,115,6,3965,"PG-13","Drama","BigBudget"
"443",31491,"Made",2001,94,6.5,4487,"R","Drama","Modest"
"444",31650,"Magnolia",1999,188,8,45992,"R","Drama","BigBudget"
"445",31675,"Maid in Manhattan",2002,105,4.6,12237,"PG-13","RomanticComedy","BigBudget"
"446",31720,"Majestic, The",2001,156,6.7,8649,"PG","RomanticDrama","BigBudget"
"447",31806,"Malcolm X",1992,202,7.5,6873,"UR","Drama","BigBudget"
"448",31846,"Mallrats",1995,94,7.1,22837,"R","Drama","Modest"
"449",31983,"Man Who Wasn't There, The",2001,118,7.7,17028,"R","Drama","Modest"
"450",32009,"Man from Elysian Fields, The",2001,106,6.8,1198,"R","Drama","Modest"
"451",32077,"Man on the Moon",1999,118,7.3,19826,"R","Drama","BigBudget"
"452",32222,"Mannequin: On the Move",1991,95,2.9,1235,"UR","RomanticComedy","Modest"
"453",32276,"Maquinista, El",2004,102,7.7,4322,"R","Drama","Modest"
"454",32542,"Marvin's Room",1996,98,6.5,4005,"PG-13","Drama","Modest"
"455",32548,"Mary Reilly",1996,108,5.5,2806,"R","Drama","BigBudget"
"456",32582,"Mask of Zorro, The",1998,136,6.8,18220,"PG-13","RomanticComedy","BigBudget"
"457",32687,"Matilda",1996,102,6.5,4351,"PG","Drama","BigBudget"
"458",32769,"May",2002,93,6.8,3324,"R","Drama","Modest"
"459",32851,"Mean Creek",2004,89,7.3,2094,"R","Drama","Tiny"
"460",32853,"Mean Girls",2004,97,7,11591,"PG-13","Drama","Modest"
"461",32893,"Medicine Man",1992,106,5.7,4190,"UR","RomanticDrama","BigBudget"
"462",32914,"Meet Joe Black",1998,178,6.6,16796,"PG-13","RomanticDrama","BigBudget"
"463",33034,"Memento",2000,113,8.7,90317,"R","Drama","Modest"
"464",33088,"Men of Honor",2000,129,6.6,9684,"R","Drama","BigBudget"
"465",33097,"Men with Brooms",2002,102,5.9,1096,"R","RomanticDrama","Modest"
"466",33160,"Merchant of Venice, The",2004,138,7.3,1400,"R","Drama","Modest"
"467",33223,"Message in a Bottle",1999,126,5.4,5582,"PG-13","RomanticDrama","Modest"
"468",33273,"Metoroporisu",2001,107,7.3,3380,"PG-13","RomanticDrama","Modest"
"469",33282,"Metropolitan",1990,98,7.1,1379,"UR","Drama","Tiny"
"470",33305,"Mexican, The",2001,123,6,13935,"R","RomanticComedy","BigBudget"
"471",33363,"Michael Collins",1996,133,6.8,5009,"UR","Drama","Modest"
"472",33381,"Mickey Blue Eyes",1999,102,5.8,7247,"PG-13","RomanticComedy","BigBudget"
"473",33441,"Midnight Clear, A",1992,107,7.5,2147,"UR","Drama","Modest"
"474",33476,"Midnight in the Garden of Good and Evil",1997,155,6.4,8517,"R","Drama","Modest"
"475",33605,"Miller's Crossing",1990,115,8,14575,"UR","Drama","Modest"
"476",33609,"Million Dollar Baby",2004,132,8.3,20195,"PG-13","Drama","Modest"
"477",33612,"Million Dollar Hotel, The",2000,122,5.5,4746,"R","Drama","Modest"
"478",33793,"Mirror Has Two Faces, The",1996,122,5.7,2775,"PG-13","RomanticDrama","BigBudget"
"479",33820,"Misery",1990,107,7.5,13120,"UR","Drama","Modest"
"480",33896,"Mission to Mars",2000,113,4.9,15018,"UR","Drama","BigBudget"
"481",34001,"Mo' Better Blues",1990,130,6.1,1408,"UR","Drama","Modest"
"482",34002,"Mo' Money",1992,97,4.9,1109,"UR","RomanticComedy","Modest"
"483",34153,"Mona Lisa Smile",2003,117,6.1,6838,"PG-13","RomanticDrama","BigBudget"
"484",34278,"Monster",2003,109,7.4,12306,"R","Drama","Modest"
"485",34299,"Monster's Ball",2001,112,7.3,15037,"R","RomanticDrama","Modest"
"486",34371,"Moonlight Mile",2002,117,6.9,3479,"PG-13","RomanticDrama","Modest"
"487",34583,"Mother Night",1996,114,7.1,1232,"R","RomanticDrama","Modest"
"488",34626,"Moulin Rouge!",2001,127,7.7,47689,"PG-13","RomanticDrama","BigBudget"
"489",34709,"Mr 3000",2004,104,5.7,1459,"PG-13","Drama","Modest"
"490",34736,"Mr. Deeds",2002,96,5.5,11729,"PG-13","RomanticComedy","BigBudget"
"491",34837,"Mrs. Winterbourne",1996,105,5.8,1310,"PG-13","RomanticComedy","Modest"
"492",34852,"Much Ado About Nothing",1993,111,7.5,12491,"UR","RomanticComedy","Modest"
"493",34926,"Mulholland Dr.",2001,147,7.9,35504,"R","Drama","Modest"
"494",34946,"Mumford",1999,112,6.9,3384,"R","Drama","Modest"
"495",35072,"Muriel's Wedding",1994,106,7.1,6685,"R","RomanticComedy","Modest"
"496",35114,"Music of the Heart",1999,124,6.6,2348,"PG","Drama","Modest"
"497",35128,"Musketeer, The",2001,104,4.4,3966,"PG-13","RomanticDrama","BigBudget"
"498",35195,"My Best Friend's Wedding",1997,105,6.4,16648,"PG-13","RomanticComedy","BigBudget"
"499",35197,"My Big Fat Greek Wedding",2002,95,6.9,21675,"PG","RomanticComedy","Modest"
"500",35208,"My Boss's Daughter",2003,90,4.1,2765,"R","RomanticComedy","Modest"
"501",35243,"My Dog Skip",2000,95,7.1,3109,"PG","Drama","Modest"
"502",35287,"My Girl",1991,102,6.3,5591,"UR","RomanticDrama","Modest"
"503",35334,"My Own Private Idaho",1991,102,6.7,5619,"UR","Drama","Modest"
"504",35434,"Mystery, Alaska",1999,119,6.4,5440,"R","Drama","Modest"
"505",35439,"Mystic River",2003,137,8,28969,"R","Drama","Modest"
"506",35681,"Narc",2002,105,7.3,7185,"R","Drama","Modest"
"507",35764,"Natural Born Killers",1994,122,6.6,25596,"UR","RomanticDrama","BigBudget"
"508",36143,"Newsies",1992,121,5.7,2997,"UR","Drama","Modest"
"509",36147,"Next Best Thing, The",2000,108,4.7,3131,"PG-13","Drama","Modest"
"510",36154,"Next Stop Wonderland",1998,104,6.7,1467,"R","RomanticDrama","Modest"
"511",36220,"Nicholas Nickleby",2002,132,7.4,1651,"PG","Drama","Modest"
"512",36525,"Nil by Mouth",1997,128,6.9,1159,"R","Drama","Modest"
"513",36613,"Nixon",1995,212,6.8,5837,"R","Drama","BigBudget"
"514",36896,"North",1994,87,4.1,2539,"UR","Drama","BigBudget"
"515",36924,"Northfork",2003,103,6.2,1521,"PG-13","Drama","Modest"
"516",36987,"Notebook, The",2004,123,7.8,8830,"PG-13","RomanticDrama","Modest"
"517",37037,"Notting Hill",1999,124,7,27285,"PG-13","RomanticDrama","BigBudget"
"518",37071,"Novocaine",2001,95,5.9,2829,"R","Drama","Modest"
"519",37136,"Nueve reinas",2000,114,7.6,3721,"R","Drama","Modest"
"520",37194,"Nurse Betty",2000,110,6.6,10441,"R","RomanticDrama","Modest"
"521",37216,"Nutty Professor, The",1996,95,5.8,12273,"PG-13","RomanticComedy","BigBudget"
"522",37228,"O",2001,95,6.3,4555,"R","RomanticDrama","Modest"
"523",37274,"Object of My Affection, The",1998,111,6,4027,"R","RomanticDrama","Modest"
"524",37776,"On the Line",2001,85,4.1,1013,"PG","RomanticComedy","Modest"
"525",37869,"One Eight Seven",1997,119,6.3,2958,"R","Drama","Modest"
"526",37891,"One Hour Photo",2002,96,7.1,17130,"R","Drama","Modest"
"527",37930,"One Night Stand",1997,102,5.7,1709,"R","Drama","Modest"
"528",37964,"One True Thing",1998,127,7,2534,"R","Drama","Modest"
"529",37996,"Onegin",1999,106,6.3,1327,"R","RomanticDrama","Modest"
"530",38061,"Open Range",2003,139,7.5,8799,"R","Drama","Modest"
"531",38066,"Open Water",2003,79,6.1,7204,"R","Drama","Tiny"
"532",38155,"Orange County",2002,82,6.1,8526,"PG-13","Drama","Modest"
"533",38219,"Original Sin",2001,116,5.5,4592,"R","RomanticDrama","Modest"
"534",38231,"Orlando",1992,95,6.8,1942,"UR","RomanticDrama","Modest"
"535",38262,"Osama",2003,83,7.5,1546,"PG-13","Drama","Tiny"
"536",38322,"Othello",1995,123,6.8,1852,"R","Drama","Modest"
"537",38349,"Others, The",2001,104,7.8,36914,"PG-13","Drama","Modest"
"538",38473,"Out of Sight",1998,123,7.3,18776,"UR","RomanticDrama","BigBudget"
"539",38505,"Outbreak",1995,127,6.4,13796,"R","Drama","BigBudget"
"540",38547,"Outside Providence",1999,96,6.1,2735,"R","RomanticDrama","Modest"
"541",38588,"Overnight Delivery",1998,87,5.9,1229,"PG-13","RomanticComedy","Modest"
"542",38605,"Owning Mahowny",2003,104,7,1999,"R","Drama","Modest"
"543",38849,"Panic",2000,88,6.9,2524,"R","Drama","Modest"
"544",38852,"Panic Room",2002,113,7,24302,"R","Drama","BigBudget"
"545",38903,"Paparazzi",2004,84,5.6,2028,"PG-13","Drama","Modest"
"546",39144,"Party Monster",2003,98,5.8,1976,"R","Drama","Modest"
"547",39243,"Passion of the Christ, The",2004,127,7.4,34046,"R","Drama","Modest"
"548",39282,"Patch Adams",1998,115,6.1,12110,"PG-13","Drama","BigBudget"
"549",39370,"Pay It Forward",2000,123,6.7,13531,"PG-13","RomanticDrama","BigBudget"
"550",39408,"Pearl Harbor",2001,184,5.4,33409,"R","RomanticDrama","BigBudget"
"551",39851,"Phantom of the Opera, The",2004,143,7.2,11283,"PG-13","RomanticDrama","BigBudget"
"552",39873,"Phenomenon",1996,123,6.3,12075,"PG","RomanticDrama","BigBudget"
"553",39878,"Philadelphia",1993,125,7.5,17861,"UR","Drama","Modest"
"554",39925,"Pianist, The",2002,150,8.5,30467,"R","Drama","BigBudget"
"555",39929,"Piano, The",1993,121,7.4,12394,"UR","RomanticDrama","Modest"
"556",39982,"Picture Perfect",1997,105,5.6,3019,"PG-13","RomanticComedy","Modest"
"557",40001,"Pieces of April",2003,80,7.3,4604,"PG-13","Drama","Tiny"
"558",40373,"Play It to the Bone",1999,124,5.1,2645,"R","Drama","Modest"
"559",40406,"Playing by Heart",1998,121,7.1,4958,"R","RomanticDrama","Modest"
"560",40421,"Pleasantville",1998,124,7.5,22561,"PG-13","Drama","BigBudget"
"561",40447,"Pledge, The",2001,123,6.9,9852,"R","Drama","BigBudget"
"562",40524,"Pocahontas",1995,81,5.7,6498,"UR","RomanticDrama","BigBudget"
"563",40551,"Poetic Justice",1993,109,5,1207,"UR","RomanticDrama","Modest"
"564",40579,"Poison Ivy",1992,93,5,2436,"UR","Drama","Modest"
"565",40649,"Pollock",2000,132,7.1,4013,"R","Drama","Modest"
"566",40694,"Poolhall Junkies",2002,94,6.6,1411,"R","Drama","Modest"
"567",40916,"Postino, Il",1994,108,7.6,8342,"PG","RomanticDrama","Modest"
"568",41014,"Practical Magic",1998,103,5.4,7786,"PG-13","RomanticDrama","BigBudget"
"569",41153,"Pretty Woman",1990,125,6.6,23316,"UR","RomanticComedy","Modest"
"570",41205,"Primal Fear",1996,129,7.5,12467,"R","Drama","Modest"
"571",41208,"Primary Colors",1998,143,6.8,7756,"R","Drama","BigBudget"
"572",41224,"Primer",2004,77,6.4,1466,"PG-13","Drama","Tiny"
"573",41256,"Prince of Egypt, The",1998,99,6.9,9212,"PG","Drama","BigBudget"
"574",41264,"Prince of Tides, The",1991,132,6.3,3095,"UR","RomanticDrama","Modest"
"575",41276,"Princess Diaries 2: Royal Engagement, The",2004,115,5.3,2605,"UR","RomanticComedy","BigBudget"
"576",41362,"Private Parts",1997,109,6.6,9289,"R","Drama","Modest"
"577",41662,"Pulp Fiction",1994,168,8.8,132745,"R","Drama","Modest"
"578",41680,"Punch-Drunk Love",2002,95,7.5,18169,"R","RomanticDrama","Modest"
"579",41767,"Pushing Tin",1999,119,5.9,7528,"R","Drama","BigBudget"
"580",42005,"Quiet American, The",2002,101,7.4,5957,"R","RomanticDrama","Modest"
"581",42021,"Quigley Down Under",1990,119,6.2,2315,"UR","Drama","Modest"
"582",42080,"Rabbit-Proof Fence",2002,94,7.7,5079,"PG","Drama","Modest"
"583",42133,"Radio",2003,109,6.9,3594,"PG","Drama","BigBudget"
"584",42138,"Radio Flyer",1992,114,6.4,2447,"UR","Drama","BigBudget"
"585",42276,"Rainmaker, The",1997,135,6.8,8620,"PG-13","Drama","BigBudget"
"586",42283,"Raise Your Voice",2004,103,4.3,1626,"PG","RomanticDrama","Modest"
"587",42290,"Raising Victor Vargas",2002,88,6.7,1785,"R","RomanticDrama","Tiny"
"588",42347,"Random Hearts",1999,133,4.8,5919,"R","RomanticDrama","BigBudget"
"589",42463,"Ravenous",1999,108,6.7,5915,"R","Drama","Modest"
"590",42542,"Real Women Have Curves",2002,87,7,1944,"PG-13","Drama","Modest"
"591",42824,"Remains of the Day, The",1993,134,7.8,10310,"UR","RomanticDrama","Modest"
"592",42841,"Remember the Titans",2000,113,7.4,14195,"PG","Drama","Modest"
"593",42865,"Renaissance Man",1994,128,5.7,3196,"UR","Drama","BigBudget"
"594",42949,"Requiem for a Dream",2000,102,8.4,47845,"R","Drama","Modest"
"595",42997,"Restoration",1995,117,6.6,1874,"R","Drama","Modest"
"596",43090,"Return to Me",2000,115,6.9,5057,"PG","RomanticDrama","Modest"
"597",43309,"Riding in Cars with Boys",2001,132,6.2,4627,"PG-13","Drama","BigBudget"
"598",43374,"Ring, The",2002,115,7.4,30687,"PG-13","Drama","BigBudget"
"599",43420,"Ripley's Game",2002,112,6.6,2680,"R","Drama","Modest"
"600",43544,"Road to Perdition",2002,117,7.7,30526,"R","Drama","BigBudget"
"601",43587,"Rob Roy",1995,133,6.8,6652,"R","RomanticDrama","Modest"
"602",43623,"Robin Hood: Prince of Thieves",1991,155,6.5,20286,"UR","RomanticDrama","BigBudget"
"603",43673,"Rock Star",2001,105,5.8,5100,"R","Drama","BigBudget"
"604",43750,"Rogue Trader",1999,101,6.1,1379,"UR","Drama","Modest"
"605",43848,"Romeo + Juliet",1996,120,6.7,22306,"PG-13","RomanticDrama","Modest"
"606",43892,"Rookie, The",2002,127,7.2,5135,"UR","Drama","Modest"
"607",44035,"Rounders",1998,121,7.2,13621,"R","Drama","Modest"
"608",44076,"Royal Tenenbaums, The",2001,111,7.6,31227,"R","Drama","Modest"
"609",44133,"Rules of Attraction, The",2002,110,6.7,8552,"R","RomanticDrama","Modest"
"610",44134,"Rules of Engagement",2000,128,6.3,7903,"R","Drama","BigBudget"
"611",44182,"Runaway Bride",1999,116,5.4,12624,"PG","RomanticComedy","BigBudget"
"612",44188,"Runaway Jury",2003,127,7.1,10761,"PG-13","Drama","BigBudget"
"613",44258,"Rushmore",1998,93,7.7,22209,"R","RomanticDrama","Modest"
"614",44364,"Sabrina",1995,127,6.1,7547,"PG","RomanticDrama","BigBudget"
"615",44486,"Saint, The",1997,116,5.7,12591,"PG-13","RomanticDrama","BigBudget"
"616",44554,"Salton Sea, The",2002,107,7.2,5070,"R","Drama","Modest"
"617",44747,"Santa Clause 2, The",2002,105,5.8,2616,"UR","RomanticComedy","BigBudget"
"618",44939,"Save the Last Dance",2001,112,6.1,7613,"PG-13","RomanticDrama","Modest"
"619",44944,"Saved!",2004,92,7.1,6504,"PG-13","Drama","Modest"
"620",44951,"Saving Silverman",2001,96,5.4,6684,"R","RomanticComedy","Modest"
"621",44953,"Savior",1998,104,7.2,1775,"R","Drama","Modest"
"622",44963,"Say It Isn't So",2001,93,4.6,3144,"R","RomanticComedy","Modest"
"623",45049,"Scarlet Letter, The",1995,135,4.4,2426,"R","RomanticDrama","BigBudget"
"624",45127,"Schindler's List",1993,195,8.8,97667,"R","Drama","Modest"
"625",45215,"Score, The",2001,124,6.8,16106,"R","Drama","BigBudget"
"626",45331,"Se7en",1995,127,8.4,88371,"R","Drama","Modest"
"627",45362,"Seabiscuit",2003,141,7.5,11552,"PG-13","Drama","BigBudget"
"628",45448,"Secondhand Lions",2003,120,7.4,5543,"PG","Drama","Modest"
"629",45517,"Secret Window",2004,96,6.3,13260,"PG-13","Drama","BigBudget"
"630",45551,"Secrets & Lies",1996,136,7.9,7747,"R","Drama","Modest"
"631",45654,"Selena",1997,127,6.1,2870,"PG","Drama","Modest"
"632",45728,"Sense and Sensibility",1995,136,7.7,13904,"PG","RomanticDrama","Modest"
"633",45793,"Serendipity",2001,90,6.6,10795,"PG-13","RomanticComedy","Modest"
"634",45839,"Serving Sara",2002,99,4.6,2990,"PG-13","RomanticComedy","Modest"
"635",45845,"Session 9",2001,97,6.6,3718,"R","Drama","Modest"
"636",45939,"Seven Years in Tibet",1997,139,6.6,9426,"PG-13","Drama","BigBudget"
"637",46073,"Shade",2003,101,6.5,1616,"R","Drama","Modest"
"638",46117,"Shadow of the Vampire",2000,87,6.8,8366,"UR","Drama","Modest"
"639",46133,"Shadows and Fog",1992,85,6.3,2303,"UR","Drama","Modest"
"640",46164,"Shakespeare in Love",1998,122,7.5,41999,"R","RomanticDrama","Modest"
"641",46178,"Shall We Dance",2004,106,6,3479,"PG-13","RomanticDrama","BigBudget"
"642",46181,"Shallow Grave",1994,93,7.4,9401,"R","Drama","Modest"
"643",46183,"Shallow Hal",2001,113,6.1,13217,"PG-13","RomanticDrama","BigBudget"
"644",46235,"Shape of Things, The",2003,96,6.9,1816,"R","Drama","Modest"
"645",46263,"Shattered Glass",2003,95,7.5,4108,"PG-13","Drama","Modest"
"646",46269,"Shawshank Redemption, The",1994,142,9.1,149494,"R","Drama","Modest"
"647",46313,"She's All That",1999,95,5.5,13070,"PG-13","RomanticComedy","Modest"
"648",46322,"She's So Lovely",1997,100,5.7,2280,"R","RomanticDrama","Modest"
"649",46325,"She's the One",1996,96,6,3779,"R","RomanticComedy","Modest"
"650",46435,"Shine",1996,105,7.6,12425,"PG-13","RomanticDrama","Modest"
"651",46465,"Shipping News, The",2001,111,6.9,7695,"R","RomanticDrama","BigBudget"
"652",46554,"Shooting Fish",1997,103,6.6,2701,"PG","RomanticComedy","Modest"
"653",46648,"Shrek",2001,90,8,65146,"PG","RomanticComedy","BigBudget"
"654",46717,"Sibirskiy tsiryulnik",1998,275,7.1,1254,"UR","RomanticDrama","BigBudget"
"655",46745,"Sidewalks of New York",2001,108,6.5,1998,"R","RomanticComedy","Modest"
"656",46746,"Sideways",2004,123,8,17051,"R","Drama","Modest"
"657",46826,"Signs",2002,108,7.1,40285,"PG-13","Drama","BigBudget"
"658",46952,"Simon Birch",1998,113,6.8,4612,"PG","Drama","Modest"
"659",46967,"Simple Plan, A",1998,121,7.6,15398,"R","Drama","Modest"
"660",46974,"Simply Irresistible",1999,94,4.7,3083,"PG-13","RomanticComedy","Modest"
"661",47038,"Singing Detective, The",2003,109,5.3,1184,"R","Drama","Modest"
